"node","class","mol_name","class2"
"HILIC_POS_7.25_138.0550m/z","metabolomics","Trigonelline","internal-omics"
"HILIC_POS_11.69_277.1395m/z","metabolomics","L-Saccharopine","internal-omics"
"HILIC_NEG_4.89_178.0509m/z","metabolomics","Hippuric acid","internal-omics"
"HILIC_NEG_6.31_130.0873m/z","metabolomics","HILIC_NEG_6.31_130.0873m/z","internal-omics"
"HILIC_NEG_1.78_197.0680m/z","metabolomics","5-Acetylamino-6-amino-3-methyluracil","internal-omics"
"HILIC_NEG_3.47_135.0312m/z","metabolomics","Hypoxanthine","internal-omics"
"RPLC_NEG_1.49_203.0827m/z","metabolomics","D-TRYPTOPHAN","internal-omics"
"HILIC_NEG_3.43_190.0510m/z","metabolomics","5-Hydroxyindoleacetate","internal-omics"
"HILIC_POS_7.19_276.1740m/z","metabolomics","C6:0,OH AC","internal-omics"
"RPLC_POS_10.17_468.3080m/z","metabolomics","LysoPC(14:0)","internal-omics"
"HILIC_NEG_9.75_132.0535n","metabolomics","L-Asparagine","internal-omics"
"HILIC_POS_8.76_125.0148n","metabolomics","HILIC_POS_8.76_125.0148n","internal-omics"
"HILIC_NEG_3.72_244.0694n","metabolomics","Uridine","internal-omics"
"RPLC_POS_4.90_315.0746m/z","metabolomics","Dantrolene","internal-omics"
"RPLC_NEG_11.82_465.3048m/z","metabolomics","Cholesterol sulfate","internal-omics"
"RPLC_NEG_0.52_108.0218m/z","metabolomics","Hypotaurine","internal-omics"
"HILIC_NEG_9.25_110.0247m/z","metabolomics","Pyrrole-2-carboxylic acid","internal-omics"
"HILIC_POS_7.05_244.1114m/z","metabolomics","2-Amino-a-carboline","internal-omics"
"HILIC_NEG_10.97_96.9587m/z","metabolomics","Sulfuric acid","internal-omics"
"HILIC_NEG_0.91_256.2402n","metabolomics","Palmitic acid","internal-omics"
"HILIC_POS_9.20_76.0757m/z","metabolomics","Trimethylamine N-oxide","internal-omics"
"HILIC_POS_4.31_162.0761m/z","metabolomics","DL-2-Aminoadipic acid","internal-omics"
"HILIC_NEG_2.21_160.0404m/z","metabolomics","Indole-3-carboxylic acid","internal-omics"
"HILIC_POS_6.70_232.1543m/z","metabolomics","C4:0 AC","internal-omics"
"HILIC_NEG_10.31_146.0432m/z","metabolomics","L-Glutamic acid","internal-omics"
"HILIC_POS_1.09_109.0529n","metabolomics","Nicotinyl","internal-omics"
"HILIC_POS_0.92_114.0915m/z","metabolomics","epsilon-Caprolactam","internal-omics"
"HILIC_POS_3.96_150.1125m/z","metabolomics","HILIC_POS_3.96_150.1125m/z","internal-omics"
"RPLC_POS_0.52_99.0441m/z","metabolomics","Levulinic acid","internal-omics"
"HILIC_POS_18.01_189.1559m/z","metabolomics","N6,N6,N6-Trimethyl-L-lysine","internal-omics"
"HILIC_NEG_7.72_145.0374n","metabolomics","2-Keto-glutaramic acid","internal-omics"
"HILIC_POS_11.24_276.1442m/z","metabolomics","C5:0, DC AC","internal-omics"
"HILIC_NEG_0.91_227.2017m/z","metabolomics","Myristic acid","internal-omics"
"HILIC_NEG_11.01_346.0557m/z","metabolomics","dGDP","internal-omics"
"HILIC_POS_7.01_211.0879n","metabolomics","HILIC_POS_7.01_211.0879n","internal-omics"
"HILIC_POS_0.91_570.3232n","metabolomics","Reserpine","internal-omics"
"HILIC_NEG_0.91_465.3042m/z","metabolomics","Cholesteryl sulfate","internal-omics"
"RPLC_NEG_10.19_291.1968m/z","metabolomics","13(S)-HpOTrE","internal-omics"
"HILIC_NEG_11.00_347.0398m/z","metabolomics","Inosine 5'-Phosphate","internal-omics"
"HILIC_NEG_6.43_235.0724m/z","metabolomics","HILIC_NEG_6.43_235.0724m/z","internal-omics"
"RPLC_NEG_10.65_295.2281m/z","metabolomics","9(S)-HODE","internal-omics"
"protein_193","proteomics","P37837_TALDO","internal-omics"
"protein_200","proteomics","P48506_GSH1","internal-omics"
"protein_11","proteomics","O60568_PLOD3","internal-omics"
"protein_281","proteomics","Q9H488_OFUT1","internal-omics"
"protein_285","proteomics","Q9NWV4_CZIB","internal-omics"
"protein_2","proteomics","O00159_MYO1C","internal-omics"
"protein_132","proteomics","P10599_THIO","internal-omics"
"protein_42","proteomics","P01019_ANGT","internal-omics"
"protein_81","proteomics","P02775_CXCL7","internal-omics"
"protein_82","proteomics","P02776_PLF4","internal-omics"
"protein_92","proteomics","P04196_HRG","internal-omics"
"protein_69","proteomics","P02746_C1QB","internal-omics"
"protein_4","proteomics","O00299_CLIC1","internal-omics"
"protein_266","proteomics","Q5TDH0_DDI2","internal-omics"
"protein_223","proteomics","P61626_LYSC","internal-omics"
"protein_259","proteomics","Q15166_PON3","internal-omics"
"protein_63","proteomics","P02656_APOC3","internal-omics"
"protein_129","proteomics","P09493_TPM1","internal-omics"
"protein_247","proteomics","Q08495_DEMA","internal-omics"
"protein_150","proteomics","P18206_VINC","internal-omics"
"protein_273","proteomics","Q8TEQ6_GEMI5","internal-omics"
"protein_220","proteomics","P60174_TPIS","internal-omics"
"protein_205","proteomics","P49773_HINT1","internal-omics"
"protein_257","proteomics","Q14697_GANAB","internal-omics"
"protein_183","proteomics","P31948_STIP1","internal-omics"
"protein_284","proteomics","Q9NRX4_PHP14","internal-omics"
"protein_47","proteomics","P01591_IGJ","internal-omics"
"protein_139","proteomics","P11277_SPTB1","internal-omics"
"protein_134","proteomics","P10768_ESTD","internal-omics"
"protein_201","proteomics","P48637_GSHB","internal-omics"
"protein_243","proteomics","Q00796_DHSO","internal-omics"
"protein_291","proteomics","Q9Y490_TLN1","internal-omics"
"protein_137","proteomics","P11166_GTR1","internal-omics"
"protein_149","proteomics","P16949_STMN1","internal-omics"
"protein_43","proteomics","P01023_A2MG","internal-omics"
"protein_252","proteomics","Q13630_FCL","internal-omics"
"protein_233","proteomics","P63208_SKP1","internal-omics"
"protein_225","proteomics","P61981_1433G","internal-omics"
"protein_9","proteomics","O43615_TIM44","internal-omics"
"protein_215","proteomics","P54725_RD23A","internal-omics"
"protein_12","proteomics","O75368_SH3L1","internal-omics"
"protein_5","proteomics","O14618_CCS","internal-omics"
"protein_194","proteomics","P37840_SYUA","internal-omics"
"protein_48","proteomics","P01717_LV325","internal-omics"
"protein_8","proteomics","O43396_TXNL1","internal-omics"
"protein_70","proteomics","P02747_C1QC","internal-omics"
"protein_136","proteomics","P11142_HSP7C","internal-omics"
"protein_40","proteomics","P01009_A1AT","internal-omics"
"protein_217","proteomics","P55072_TERA","internal-omics"
"protein_130","proteomics","P09871_C1S","internal-omics"
"protein_116","proteomics","P07357_CO8A","internal-omics"
"protein_176","proteomics","P30043_BLVRB","internal-omics"
"protein_13","proteomics","O75636_FCN3","internal-omics"
"protein_219","proteomics","P59666_DEF3","internal-omics"
"protein_52","proteomics","P01861_IGHG4","internal-omics"
"protein_56","proteomics","P02042_HBD","internal-omics"
"protein_95","proteomics","P04275_VWF","internal-omics"
"protein_61","proteomics","P02654_APOC1","internal-omics"
"protein_71","proteomics","P02749_APOH","internal-omics"
"protein_73","proteomics","P02751_FINC","internal-omics"
"protein_102","proteomics","P05160_F13B","internal-omics"
"protein_171","proteomics","P27105_STOM","internal-omics"
"protein_154","proteomics","P19827_ITIH1","internal-omics"
"protein_222","proteomics","P61088_UBE2N","internal-omics"
"protein_27","proteomics","P00568_KAD1","internal-omics"
"protein_46","proteomics","P01042_KNG1","internal-omics"
"protein_161","proteomics","P23083_HV102","internal-omics"
"protein_213","proteomics","P53396_ACLY","internal-omics"
"protein_158","proteomics","P22061_PIMT","internal-omics"
"protein_108","proteomics","P06703_S10A6","internal-omics"
"protein_226","proteomics","P62258_1433E","internal-omics"
"protein_204","proteomics","P49368_TCPG","internal-omics"
"protein_15","proteomics","O75882_ATRN","internal-omics"
"protein_253","proteomics","Q13790_APOF","internal-omics"
"protein_177","proteomics","P30086_PEBP1","internal-omics"
"protein_74","proteomics","P02753_RET4","internal-omics"
"protein_174","proteomics","P29401_TKT","internal-omics"
"protein_159","proteomics","P22314_UBA1","internal-omics"
"protein_268","proteomics","Q6XQN6_PNCB","internal-omics"
"protein_98","proteomics","P04632_CPNS1","internal-omics"
"protein_49","proteomics","P01834_IGKC","internal-omics"
"protein_246","proteomics","Q08380_LG3BP","internal-omics"
"protein_146","proteomics","P14174_MIF","internal-omics"
"protein_125","proteomics","P08603_CFAH","internal-omics"
"protein_241","proteomics","P78417_GSTO1","internal-omics"
"protein_184","proteomics","P32119_PRDX2","internal-omics"
"protein_221","proteomics","P60891_PRPS1","internal-omics"
"protein_59","proteomics","P02649_APOE","internal-omics"
"protein_87","proteomics","P04003_C4BPA","internal-omics"
"protein_41","proteomics","P01011_AACT","internal-omics"
"protein_117","proteomics","P07451_CAH3","internal-omics"
"protein_86","proteomics","P03952_KLKB1","internal-omics"
"protein_199","proteomics","P48426_PI42A","internal-omics"
"Step","step","Step","wearable"
"total_protein_1","total_protein","TotalProtein","internal-omics"
